gauge_id,umap_40d_dim_1,umap_40d_dim_2,umap_40d_dim_3,umap_40d_dim_4,umap_40d_dim_5,umap_40d_dim_6,umap_40d_dim_7,umap_40d_dim_8,umap_40d_dim_9,umap_40d_dim_10,umap_40d_dim_11,umap_40d_dim_12,umap_40d_dim_13,umap_40d_dim_14,umap_40d_dim_15,umap_40d_dim_16,umap_40d_dim_17,umap_40d_dim_18,umap_40d_dim_19,umap_40d_dim_20,umap_40d_dim_21,umap_40d_dim_22,umap_40d_dim_23,umap_40d_dim_24,umap_40d_dim_25,umap_40d_dim_26,umap_40d_dim_27,umap_40d_dim_28,umap_40d_dim_29,umap_40d_dim_30,umap_40d_dim_31,umap_40d_dim_32,umap_40d_dim_33,umap_40d_dim_34,umap_40d_dim_35,umap_40d_dim_36,umap_40d_dim_37,umap_40d_dim_38,umap_40d_dim_39,umap_40d_dim_40
3094,-3.4411483,4.897947,5.996486,5.137763,0.5914527,7.9851403,8.073575,2.4722908,2.392488,6.3814783,1.7918522,3.3493936,6.8251038,7.2051396,7.371715,1.840161,3.113073,2.7846665,7.5872602,5.6754827,8.652117,8.756229,7.578308,4.68728,5.0535383,3.9916065,2.3837569,6.22273,4.9122715,1.2743089,2.489594,6.8284626,4.799229,4.474957,6.7930384,3.387286,8.743164,6.647237,4.8821325,8.614131
3098,-3.474144,4.6598363,5.906769,5.3803916,0.9184787,7.196304,7.400293,2.275441,1.8303112,5.931422,1.4741648,3.5893407,7.0878735,7.301961,7.621939,1.5856458,3.6585116,2.2394223,7.3872337,5.2935643,8.534767,8.787636,7.390865,4.472462,5.556944,3.8958251,2.6587749,6.1883297,5.240007,1.9558843,2.3715637,7.4419894,4.4794164,4.9996634,6.654595,2.840857,8.296334,6.976098,4.7476177,8.329859
3099,-3.6571794,4.9786525,6.121616,4.222478,1.2108623,8.442995,8.439432,2.8813505,1.8625579,7.0335817,2.4780724,4.3108406,6.0258865,7.1039376,7.2350087,1.5863385,2.4782794,3.0973666,8.659015,4.535317,9.450164,8.451145,7.236692,4.8808694,4.648285,4.7174473,2.1770024,6.0666084,4.8189435,1.1857235,2.7606514,6.4834566,5.0575523,4.2220907,6.912761,3.5023727,8.904613,7.049166,4.528393,9.155732
3103,-3.51923,4.4572678,5.941262,5.0466995,0.70343035,8.392273,8.273556,2.4089196,2.5966842,6.9016805,1.9500717,3.2595294,6.6632037,7.332592,7.1401086,2.050221,2.6403453,2.9516006,7.6614127,5.6865473,8.843006,8.850437,7.286917,4.797894,4.578792,3.885202,2.441714,6.3554616,4.6877527,1.3263818,2.403556,6.805175,4.6391354,4.144892,6.863583,3.619591,9.276613,6.897346,4.934503,8.675545
3105,-3.6547956,4.988121,6.182282,4.1992517,1.2544608,8.385036,8.4388485,2.8448758,1.841044,7.065593,2.488423,4.304094,5.9630165,7.0763087,7.2640877,1.5595591,2.474981,3.060793,8.647257,4.4902267,9.493916,8.421159,7.2186003,4.915971,4.6644797,4.757455,2.1817338,6.103834,4.77869,1.1985519,2.823399,6.4873543,5.0925107,4.24882,6.8812013,3.4409506,8.884641,7.089865,4.504243,9.138716
3107,-3.5605264,4.9873786,5.953542,4.8748803,0.76583225,8.057778,8.043224,2.6922436,2.037592,6.4390807,1.9425524,3.7420595,6.659909,7.0846486,7.4706416,1.5576324,3.0960462,2.8216283,7.9827905,5.2053046,8.786965,8.654901,7.5998883,4.638703,5.050748,4.2459025,2.4058034,6.097127,5.0127783,1.3005929,2.5503864,6.8143063,4.9232626,4.498524,6.8382063,3.360536,8.566587,6.6763577,4.76258,8.781149
3109,-3.4527345,4.405292,5.874498,5.5024977,0.5080826,7.939895,7.882497,2.1735477,2.577375,6.502364,1.5623245,2.9364102,7.1102133,7.310005,7.2989645,1.9609404,3.0350394,2.64278,7.151625,6.1421113,8.443181,8.956944,7.4080663,4.6151013,4.900253,3.5104766,2.6156344,6.4139166,4.8522916,1.588855,2.1899686,7.16155,4.5263104,4.38615,6.7598763,3.4195695,9.0612135,6.7700615,5.0611887,8.386372
3110,-3.4569602,4.6219516,5.9244804,5.52957,0.5451065,7.6170664,7.710952,2.2106435,2.363474,6.171282,1.4994518,3.0746653,7.1820617,7.2714643,7.4357433,1.844859,3.3200588,2.5117877,7.1287937,6.0367785,8.383376,8.875287,7.49031,4.5519166,5.241186,3.6032844,2.620728,6.31341,4.985893,1.6630148,2.2466395,7.232289,4.547666,4.6048017,6.745793,3.2313979,8.696383,6.7271447,4.9867425,8.358907
4003,-3.7794268,4.2751822,5.515897,5.821392,0.60287,7.3132644,6.992189,2.2058213,1.5025512,5.7393475,1.190175,3.1844835,7.521177,7.031994,7.9224477,0.8990196,3.9257839,2.1576886,7.0836535,5.640709,7.883514,8.998947,7.7672024,3.9925835,5.5115924,3.396866,3.2535446,6.1389914,5.4328513,2.368496,1.9497705,7.9142866,4.5028996,4.91761,6.8924627,2.9750056,8.173836,6.608347,5.0135117,8.245649
4004,-3.4323401,4.4665604,5.670796,5.5784607,0.9710512,7.0549717,6.9728374,2.2291276,1.5373528,5.697836,1.1941,3.5637138,7.357299,7.34896,7.7967677,1.0733471,4.049992,1.8691707,7.3291626,5.201085,8.220853,8.898649,7.4445477,4.244958,5.7525616,3.7188413,2.8755648,6.212274,5.47566,2.1991904,2.207417,7.8309393,4.337931,5.3350554,6.5971456,2.5695312,8.05655,6.974834,4.69849,8.085598
4005,-3.5291724,4.4134817,5.686585,5.7592173,0.77261394,7.0305986,7.020384,2.1269555,1.6584538,5.6701603,1.1576574,3.3076293,7.4532127,7.2762585,7.787317,1.2191465,3.9904876,2.0113425,7.065159,5.5108137,8.123682,8.936904,7.53465,4.2121553,5.685485,3.5472155,2.967197,6.228373,5.4060855,2.2682378,2.1208782,7.830662,4.3520412,5.1424,6.6736975,2.7404377,8.138597,6.841072,4.864698,8.100951
4006,-3.4982364,4.428101,5.591447,5.6844783,0.8651796,7.0776067,6.986821,2.2120414,1.5830157,5.6845536,1.1578417,3.4354413,7.422755,7.3477335,7.7953777,1.0950898,4.0611258,1.9619015,7.197116,5.381155,8.112156,8.95166,7.51019,4.190582,5.678175,3.617813,2.9362257,6.242175,5.4698734,2.2245076,2.1416826,7.8310695,4.3249307,5.237713,6.6764193,2.684967,8.071692,6.8865013,4.7845,8.0805855
4007,-3.5160463,4.7406807,6.035486,5.539219,0.9273482,6.844606,7.3027377,2.181106,1.7266059,5.715319,1.4354954,3.5988858,7.116308,7.2372584,7.710409,1.7337694,3.778923,2.205253,7.1458654,5.1918364,8.592949,8.717381,7.4228973,4.4794655,5.7539535,3.9354289,2.7179234,6.1090474,5.2480555,2.128629,2.425186,7.4892616,4.4809875,5.0294294,6.627888,2.7534652,8.152951,6.9753714,4.7769575,8.322562
